Sample,Sex,Diet,Coat.Color,BMC1,BMC2,BMD1,BMD2,BW.11,BW.12,BW.13,BW.14,BW.15,BW.16,BW.17,BW.18,BW.19,BW.20,BW.21,Calcium2,CHCM1,CHCM2,cHGB1,cHGB2,CHOL1,CHOL2,ct.EOS1,ct.EOS2,ct.LYM1,ct.LYM2,ct.MONO1,ct.MONO2,ct.NEUT1,ct.NEUT2,GLDH1,GLDH2,Glucose2,HCT1,HCT2,HDLD1,HDLD2,HDW1,HDW2,HR,HRV,INSULIN,Length1,Length2,LEPTIN,LTM1,LTM2,MCH1,MCH2,MCHC1,MCHC2,MCV1,MCV2,mHGB1,mHGB2,MPV1,MPV2,perc.EOS1,perc.EOS2,perc.Fat1,perc.Fat2,perc.LYM1,perc.LYM2,perc.MONO1,perc.MONO2,perc.NEUT1,perc.NEUT2,Phosphorus2,PLT1,PLT2,pNN50...6ms.,PQ,PR,QRS,QTC,QTc.dispersion,RBC1,RBC2,RDW1,RDW2,Retic1,Retic2,rMSSD,RR,ST,T.Area1,T.Area2,TG1,TG2,TTM1,TTM2,urine.creatinine2,urine.Glucose2,urine.microalbumin2,WBC1,WBC2
F29,F,chow,agouti,0.641,0.6465,0.0613,0.0618,28.91,28.07,26.2,25.91,25.14,28.11,29.75,31.71,32.57,34.24,34.99,9.8,30.9,29.2,18,15,NA,68,0.7337,0.10672,11.43238,10.11172,0.10672,0.50692,0.89378,2.42788,NA,5.5,184,58.1,51.4,NA,50.4,1.55,1.63,694,63.5,1.679759183,9.3,9.5,7.909099821,20.5,23.8,16,13.7,32.6,29.3,49.2,46.9,19,15,6.3,6.4,5.5,0.8,21.51,29.73,85.7,75.8,0.8,3.8,6.7,18.2,8.1,1495,1312,48.94,22.6,30.3,10.9,48.9,27.1,11.81,10.96,11.6,13.3,2.18,4.34,4.55,87.2,35.2,22.63,26.81,NA,209,26.07,33.85,45.62,86,0,13.34,6.71
F30,F,chow,agouti,0.512,0.5428,0.0552,0.0564,27.4,23.55,24.15,22.25,22.66,26.42,26.87,27.4,28.61,27.76,29.78,9.7,30,27.9,16.2,13.3,NA,93,0.6424,0.25696,10.02144,9.78784,0.1168,0.36208,0.79424,1.168,NA,9.9,172,54.1,47.8,NA,74,1.48,1.62,714,21.8,0.882070154,9.1,9.2,9.045820014,19,21.2,15.9,15.7,31.5,31.3,50.5,50.3,17,14.9,6,6.7,5.5,2.2,24.77,23.41,85.8,83.8,1,3.1,6.8,10,5.6,1238,776,0,21.8,29.1,10.3,45.9,36.6,10.7,9.51,11.6,13.5,2.25,3.19,3.04,84.1,32.3,22.23,22.73,NA,114,25.18,27.73,59.87,108,0,11.68,7.71
F31,F,chow,agouti,0.5688,0.5632,0.0509,0.0522,22.16,22.72,23.07,23.02,24.77,24.41,27.56,29.05,28.16,27.73,29.07,9.6,30.3,28.6,14.5,15.6,NA,78,0.14544,0.22422,4.89042,4.8177,0.05454,0.07878,0.89082,0.89082,NA,11.6,186,47.9,54.6,NA,66.7,2.13,1.66,730,15.1,0.239708091,8.8,8.3,3.222604432,17.1,21,13.1,12.5,30.8,28.1,42.6,44.6,14.8,15.3,7.2,7,2.4,3.7,19.24,22.95,80.7,79.5,0.9,1.3,14.7,14.7,5.5,1096,1169,0,21.2,28.6,12.5,46.8,26.3,11.24,12.23,14.6,13.3,5.01,3.94,1.52,82.2,30.4,20.56,23.96,NA,115,21.17,27.26,58.28,106,0,6.06,5.19
F32,F,chow,agouti,0.675,0.661,0.0587,0.0618,23.55,24.82,24.08,24.06,25.99,25.44,28.54,29.59,29.16,29.38,30.58,9.6,30.8,29,16.7,16.3,NA,73,0.03817,0.04511,2.7066,2.61985,0.04511,0.05552,0.64889,0.68359,NA,3.9,165,54.1,56.2,NA,61,1.64,1.71,694,7.7,0.356259578,8.5,9.5,5.96466357,18.5,21.2,15.5,15.2,31.3,29.3,49.5,51.9,16.9,16.4,7,6.6,1.1,1.3,18.7,26.37,78,75.5,1.3,1.6,18.7,19.7,6.9,953,966,0,22.8,30,11,44.1,30.7,10.94,10.81,12,13.1,2.28,3.91,1.05,86.5,30.5,20.53,23.79,NA,104,22.67,28.84,102.78,190,0,3.47,2.73
F33,F,chow,white,0.5029,0.5328,0.0546,0.0581,21.69,21.6,21.87,21.71,24.29,24.53,24.84,26.64,26.48,26.3,26.71,8.8,29.8,28.4,16.1,16.4,NA,62,2.34792,0.46741,7.33725,9.15254,0.08696,0.20653,1.02178,0.9783,NA,5.8,146,54,57.6,NA,48.4,1.59,1.41,745,14.5,0.601840039,9.1,8.8,5.979672532,16.1,18.4,13.8,14,30.6,29,45.1,48.2,16.5,16.7,7,6.9,21.6,4.3,20.52,27.41,67.5,84.2,0.8,1.9,9.4,9,5.6,1299,914,0,22.8,30.8,11.6,51,26.1,11.99,11.94,12.3,12.4,0.98,2.31,1.12,80.5,34.6,18.58,22.03,NA,153,20.29,25.44,130.86,194,0,10.87,4.8
F34,F,chow,buff,0.4452,0.5417,0.0489,0.0531,22.95,23.98,24.76,24.73,25.47,25.69,26.77,27.52,28.53,28.07,29.08,9.8,29.2,28.2,15.8,17,NA,119,0.31075,0.34804,9.62082,10.25475,0.2486,0.34804,2.1131,1.39216,NA,8.5,74,54,60.2,NA,97.4,1.62,1.58,842,11.3,0.706725426,8.4,9.2,4.976420501,17.1,21.2,14.6,14.8,30.4,28.9,48,51.3,16.5,17.4,6.6,9.7,2.5,2.8,26.52,23.33,77.4,82.5,2,2.8,17,11.2,6.5,1272,540,0,18.8,25.4,10.2,41,26.6,11.25,11.74,13,13.4,4.06,4.66,0.54,71.3,24.9,20.94,23.76,NA,135,23.3,27.66,45.62,128,0,12.43,12.73
F35,F,chow,agouti,0.6361,0.7051,0.0584,0.0626,26.25,26.6,25.49,26.1,27.56,27.56,29.26,31.51,30.89,32.68,32.48,9.6,29.3,27.8,16.1,15.4,NA,104,0.3654,0.50112,8.091,8.12232,0.3132,0.34452,1.55556,1.34676,NA,10.3,175,54.8,55.6,NA,76.5,1.65,1.57,NA,NA,0.62691383,9.1,9.5,4.937137736,18.5,23.4,14.5,14.3,30.6,28.6,47.5,50.2,16.8,15.9,7.6,7.3,3.5,4.8,21.17,23.93,77.5,77.8,3,3.3,14.9,12.9,4.5,1425,1140,NA,NA,NA,NA,NA,NA,11.55,11.08,12.7,13.7,2.73,4.07,NA,NA,NA,21.74,26.89,NA,114,23.45,30.66,80.94,159,0,10.44,6.27
F36,F,chow,agouti,0.557,0.6215,0.051,0.0568,19.09,19.24,19.48,18.82,19.44,19.21,18.66,19.99,19.16,19.34,20.49,9.8,30.9,29.3,15.8,16.3,NA,45,0.44178,0.38208,4.6566,4.6566,0.07761,0.1791,0.77013,0.7164,NA,5.8,151,51,55.6,NA,38.8,1.53,1.5,824,4.9,0.411564227,8.5,8.6,0.70650984,14.2,15,14.9,14.5,32,29.3,46.5,49.5,16.3,16.3,7.1,6.8,7.4,6.4,19.69,18.14,78,78,1.3,3,12.9,12,5.5,1073,1006,0,21.8,28.9,10.5,46.2,27.5,10.97,11.24,14.1,13.8,3.19,4.11,0.49,72.8,29.5,18.36,17.82,NA,39,17.73,18.28,95.45,145,0.39,5.97,5.41
F37,F,chow,agouti,0.4488,0.5508,0.0499,0.052,21.33,21.43,19.8,21.1,20.59,20.19,22.54,22.46,21.84,22.21,22.5,9.2,30.2,28.8,15.9,15.2,NA,71,0.28416,0.29304,7.79664,7.6368,0.10656,0.0888,0.63048,0.80808,NA,23.6,141,52.7,52.9,NA,58.7,1.55,1.58,746,3,0.317644426,8.3,8.9,2.210066814,14.2,15.9,14,13.7,31.5,29.3,44.5,46.8,16.6,15.5,7.4,6.8,3.2,3.3,24.96,22.21,87.8,86,1.2,1,7.1,9.1,5.7,1257,1243,0,20.4,28.1,11.4,49.8,25.8,11.84,11.31,12,12.8,2.17,3.71,0.55,80.4,33.8,18.61,20.34,NA,103,19.04,20.53,44.01,66,0,8.88,7.95
F38,F,chow,agouti,0.5994,0.7156,0.0566,0.058,23.34,22.73,22.09,20.7,22.79,22.73,23.24,24.08,23.7,22.98,23.23,8.4,30.4,28.2,16.9,14.8,NA,46,0.28364,0.3039,8.39777,8.66115,0.19247,0.14182,1.14469,0.97248,NA,8.7,144,55.6,52.4,NA,37.4,1.51,1.63,765,16.9,0.855615658,8.7,9,0.934447692,16.6,17.5,15.7,13.6,31.7,28.9,49.6,47.1,17.6,15.1,8,6.5,2.8,3,20.4,16.81,82.9,85.5,1.9,1.4,11.3,9.6,4.3,1335,1036,4.76,21.4,28.9,11.4,46.5,33.7,11.21,11.13,11.8,14.6,3.56,3.25,2.96,78.4,30.3,20,20.61,NA,35,20.89,21,63.23,84,0,10.13,4.86
F39,F,chow,agouti,0.5422,0.5608,0.0531,0.055,20.73,20.1,19.78,20.23,21.3,20.96,21.2,21.65,22.08,22.02,22.53,9.1,29.6,29,15.9,17.1,NA,73,0.47853,0.30675,10.57674,9.59514,0.20859,0.3681,0.89571,1.93866,NA,8.2,149,53.7,58.9,NA,63.1,1.51,1.47,791,6.1,0.942059654,8.4,8.4,2.171392107,14.5,16,14.6,15.4,30.4,29.6,48.1,52.1,16.3,17.4,6.7,7.6,3.9,2.5,22.47,22.24,86.2,78.2,1.7,3,7.3,15.8,4.9,1498,1070,0,21.5,28.6,10.9,43.8,25.4,11.15,11.31,12.4,12.1,2.25,4.38,0.98,75.9,27.8,18.54,20,NA,101,18.65,20.63,69.9,203,0,12.27,4.63
F40,F,chow,agouti,0.5126,0.5935,0.0534,0.0527,20.27,20.6,21.18,21.65,20.27,20.59,22.09,22.42,21.32,21.88,22.79,9.5,29.6,28.5,15.3,14.4,NA,83,0.18304,0.03328,7.18016,7.28,0.05824,0.14144,0.85696,0.78208,NA,5.8,198,51.7,50.6,NA,67.5,1.59,1.53,801,5.1,0.896924508,8,8.7,1.903653254,15,16.5,13.7,14.1,30.7,28.4,44.7,49.6,15.9,14.4,6.4,6.1,2.2,0.4,20.48,20.37,86.3,87.5,0.7,1.7,10.3,9.4,5,907,1333,0,21.8,28.7,11.2,43.4,22,11.57,10.19,13.3,12.4,1.91,3.79,0.62,75,26.8,16.83,19.91,NA,87,18.93,20.7,45.67,57,0,8.32,6.43
F41,F,chow,black,0.4429,0.5572,0.0497,0.0516,19.56,21.49,22.33,22.52,22.95,22.3,24.43,24.38,25.05,23.63,24.18,9.5,30.1,28.9,15.5,15.3,NA,75,0.42752,0.48096,11.022,10.96856,0.16032,0.2004,1.54976,1.6032,NA,5.9,161,51.5,52.8,NA,56.5,1.53,1.54,804,18.7,1.260196164,8.3,9.1,4.157633713,15.6,17.5,14.2,14.2,30.9,29.2,46,48.7,15.9,15.4,6.8,6.6,3.2,3.6,22.74,21.25,82.5,82.1,1.2,1.5,11.6,12,6.4,1715,1176,1.72,22.5,29.2,10,44.5,24,11.19,10.86,13.3,13.3,3.14,3.86,1.25,74.7,29,17.86,21.01,NA,66,20.17,22.18,86.8,144,0,13.36,8.75
F42,F,chow,black,0.4964,0.5315,0.0505,0.055,24.91,24.73,24.15,24.69,25.12,26.28,27,27.94,27.64,27.93,28.45,9,29.3,28.5,16.4,15.1,NA,43,0.57424,0.09312,6.23904,6.89088,0.05432,0.09312,0.83032,0.6208,NA,11.6,194,55.8,53.2,NA,39.2,1.62,1.62,858,4.8,0.70022,8.5,9,7.462319658,16.8,19.4,14.2,14.9,30.7,30.7,46.4,48.6,17.1,16.3,6.7,6.6,7.4,1.2,28.19,28.26,80.4,88.8,0.7,1.2,10.7,8,5.3,1052,996,0,11.9,18.7,11.2,42.8,26.3,12.02,10.94,13.3,13.4,3.13,4.56,0.63,69.9,25.1,21.36,24.07,NA,93,23.41,27.08,92.91,161,0,7.76,3.56
F43,F,chow,black,0.5339,0.6646,0.0562,0.0645,29.74,27.92,29.2,26.87,26.81,27.37,29.26,29.77,30.19,29.47,29.15,9.2,29.1,27.5,16.3,16,NA,112,0.59508,0.29754,3.74796,3.93066,0.09918,0.18792,0.75168,0.783,NA,8.8,222,55.9,58.1,NA,94.4,1.62,1.6,NA,NA,1.19875556,9,9.1,6.846752588,19.6,19.5,15.2,14.6,30.9,28.7,49.2,50.9,17.2,16.7,7.4,7.2,11.4,5.7,27.33,28.61,71.8,75.3,1.9,3.6,14.4,15,5.8,1628,1304,NA,NA,NA,NA,NA,NA,11.36,11.42,13.4,12.7,2.69,3.44,NA,NA,NA,23.3,22.79,NA,104,26.93,27.3,30.19,51,0,5.22,4.22
F44,F,chow,agouti,0.4879,0.524,0.0559,0.0577,26.45,27.51,27.69,28.47,29.59,30.32,31.39,31.38,31.86,30.46,31.8,9.1,30.4,29.3,17,17.6,NA,83,1.21572,0.43287,6.25359,6.91671,0.25788,0.52497,1.41834,1.28019,NA,8.3,248,56,60.1,NA,66.3,1.65,1.65,846,9.9,0.568797913,9.2,9.4,11.31775611,18.6,20.2,14.8,14.9,31.1,29.9,47.8,49.7,17.4,18,6.9,6.5,13.2,4.7,29.86,34.51,67.9,75.1,2.8,5.7,15.4,13.9,5,1870,1408,0,18.3,25,10.7,43.4,23.3,11.73,12.1,11.6,12.1,2.57,4.23,0.63,71,26.4,22.64,25.64,NA,73,26.64,30.8,121.22,169,0,9.21,4.69
F45,F,chow,agouti,0.5915,0.6612,0.0578,0.0578,19.9,19.88,20.51,20.92,21.83,22.14,22.58,22.88,22.92,22.75,23.52,8.8,29.3,28.2,16,15.6,NA,70,1.705,0.713,12.493,13.64,0.1705,0.1705,0.992,0.8525,NA,5.8,135,54.5,55.1,NA,59.6,1.52,1.52,692,21.1,0.018872697,8.1,9,0.784269434,15.3,17.5,13.5,13.2,30.1,28.2,44.9,46.7,16.4,15.6,7.1,6.9,11,4.6,16.02,17.24,80.6,88,1.1,1.1,6.4,5.5,5.4,2042,1725,1.47,23,30.2,11.4,47.6,26.8,12.15,11.81,12.5,13.4,2.09,2.31,1.77,86.7,33.4,16.89,19.41,NA,49,18.24,21.14,51.6,86,0,15.5,6.39
F46,F,chow,white,0.6118,0.5807,0.0532,0.0595,20.5,20.72,21.41,21.55,22.59,23.75,23.4,26.6,24.84,25.13,26,9.3,31,28.2,16.6,15.4,NA,60,0.29315,0.20746,3.6982,3.608,0.12628,0.08569,0.38335,0.57277,NA,6.6,180,53.7,54.5,NA,47.4,1.47,1.57,773,7.5,2.090169533,8.5,9,4.339166073,15.5,18,16.2,14,32,28.6,50.5,48.9,17.2,15.6,5.8,6.9,6.5,4.6,17.37,26.78,82,80,2.8,1.9,8.5,12.7,4.9,1438,802,0,22.4,29.8,10.7,47,32.3,10.62,11.14,11.7,12.7,1.12,4.24,1.09,77.6,31.3,18.63,21.4,NA,113,18.77,24.63,50.35,88,0,4.51,8
F47,F,chow,agouti,0.6049,0.5927,0.0501,0.0448,28.06,24,24.86,23.65,25.11,24.72,25.63,28.02,25.52,25.05,26.22,10,30.9,28.6,16.3,16.6,NA,57,0.52668,0.42636,5.04108,5.14767,0.05643,0.15675,0.60192,0.48279,NA,8.1,106,52.9,58.1,NA,44.2,1.54,1.6,NA,NA,0.629587988,9,8.9,2.440465261,17.9,20.9,15.1,14.2,31.9,29.3,47.3,48.4,16.9,17,6.2,6.8,8.4,6.8,19.38,14.78,80.4,82.1,0.9,2.5,9.6,7.7,4.4,1143,824,NA,NA,NA,NA,NA,NA,11.2,11.99,12.1,13.2,2.28,3.48,NA,NA,NA,20.7,22.14,NA,56,22.17,24.5,NA,NA,NA,6.27,13.86
F48,F,chow,agouti,0.4813,0.4881,0.0549,0.054,24.47,25.08,24.43,26.77,26.16,25.21,26.61,27.07,25.15,24.83,26.81,9,29.8,28.5,16.7,15.8,NA,69,1.1845,0.8446,8.1164,8.5593,0.103,0.1133,0.824,0.7416,NA,8,143,55.9,55.5,NA,53.9,1.43,1.43,775,68.8,2.760342038,8.9,9,5.460674626,17.5,17.7,14.6,14.8,30.9,29.9,47.5,49.4,17.2,16.6,6.4,6.8,11.5,8.2,28.01,29.53,78.8,83.1,1,1.1,8,7.2,5.5,1171,1054,6.67,19.8,27.5,11.2,45.9,45,11.77,11.22,11.4,12.1,1.31,2.89,14.31,78.2,29.8,21.59,22.25,NA,99,24.26,25.12,16.01,40,0.75,10.3,6.98
F49,F,chow,agouti,0.4467,0.479,0.0515,0.0522,24.35,25.27,24.36,25.62,27.21,27.81,27.72,24.44,29.51,28.7,30.02,10,29,27.6,15.6,14.2,NA,101,0.33383,0.14056,15.42646,15.79543,0.19327,0.26355,1.38803,1.19476,NA,4.8,169,53.8,51.4,NA,90.6,1.49,1.52,NA,NA,0.526659242,9,9.1,11.15833166,17.2,19.1,14,15,30.1,30.4,46.5,49.3,16.2,15.6,6.5,6.4,1.9,0.8,29.45,32.33,87.8,89.9,1.1,1.5,7.9,6.8,6.3,1870,1311,NA,NA,NA,NA,NA,NA,11.56,10.43,12.1,11.9,1.88,3.99,NA,NA,NA,21.5,25.22,NA,97,24.35,28.21,99.99,165,0,17.57,9.14
F50,F,chow,agouti,0.557,0.6417,0.0554,0.0592,25.15,22.08,25.26,22.65,23.02,23.69,24.81,25.75,24.81,24.9,25.62,9.7,29.7,29.7,16.9,16.4,NA,46,0.96815,0.37587,9.14617,9.47648,0.15946,0.35309,1.03649,1.12761,NA,2.4,211,57,55,NA,32.2,1.56,1.48,740,8.3,0.254822557,9.1,8.6,2.016698217,16.4,18.6,14.6,15.9,30.8,30,47.4,53,17.6,16.5,7,6.5,8.5,3.3,20.71,19.27,80.3,83.2,1.4,3.1,9.1,9.9,4.3,677,1395,0,21.2,29.2,11.7,51.9,12.1,12.01,10.38,12.7,11.7,3.57,1.74,0.8,81.1,35.5,19.84,20.24,NA,188,20.73,22.96,86.4,142,0,11.39,4.42
F51,F,chow,agouti,0.6255,0.7473,0.0542,0.0596,20.57,20.52,21.66,23.53,23.43,23.22,23.74,24.09,24.13,24.89,24.51,9.5,28.4,27.9,15.5,15.8,85,95,0.16225,0.23364,5.62683,5.58789,0.10384,0.0649,0.55814,0.56463,11,7.6,167,54.5,56.8,66.5,69.5,1.65,1.53,733,21.3,1.428362752,9.1,9.7,2.40547418,15.5,18.3,14.2,14.4,29.2,29,48.4,49.5,15.9,16.5,6.9,7.6,2.5,3.6,18.36,20.38,86.7,86.1,1.6,1,8.6,8.7,6,855,1150,1.69,21.4,29.1,11.3,45,30.2,11.26,11.47,12.9,11.7,2.29,1.45,2.09,81.9,30,19.7,20.87,115,108,19.04,22.95,150.57,175,0,6.49,4.71
F52,F,chow,agouti,0.6463,0.6901,0.0514,0.0565,22.9,23.39,25.19,24.87,24.5,24.72,25.55,25.28,24.71,27.05,26.51,9.7,28.8,29,16.4,17.9,101,96,0.15268,0.2429,5.95452,5.78796,0.1735,0.0694,0.60378,0.78422,9.9,14.3,162,56.9,61.7,69.2,64.4,1.48,1.48,782,46.9,0.860621994,9,9.6,4.797522708,19.2,20.6,15.5,15.3,30,29.9,51.7,51.3,17.1,18.4,6.6,7.1,2.2,3.5,15.25,14.7,85.8,83.4,2.5,1,8.7,11.3,5.5,1014,1036,1.37,17.9,24.1,9.8,40.9,30.6,11.01,12.03,12.9,11.4,3.43,2,8.95,77.2,26.5,22.12,22.75,94,185,22.68,24.23,62.95,92,0,6.94,8.28
F53,F,chow,agouti,0.5807,0.628,0.0515,0.0561,18.42,19.87,19.93,20.64,20.94,20.44,22.82,21.96,22.19,23.9,22.72,10.5,29,28.1,16,17.2,87,96,0.11908,0.38472,7.63028,7.88676,0.24732,0.21068,1.07172,0.60456,5.7,6.4,191,55.3,61.2,67.4,67.5,1.55,1.54,796,7.3,0.659487304,8.6,9.5,1.135617577,14.2,16.6,15.1,14.9,30,29.3,50.3,50.8,16.6,17.9,6,6.1,1.3,4.2,19.78,19.85,83.3,86.1,2.7,2.3,11.7,6.6,6.5,956,746,0,21.6,28.3,9.7,43.9,28,10.99,12.04,12.2,12.7,2.9,0.94,0.7,75.4,29,18.67,20.36,93,71,17.67,20.72,57.28,68,0.38,9.16,10.47
F54,F,chow,agouti,0.674,0.7348,0.0595,0.0654,18.06,17.95,19.27,19.41,20.03,19.28,19.67,19.11,19.25,20.08,19.14,9.2,30.1,28.5,15.9,17.4,82,97,0.17526,0.381,6.49224,6.16458,0.16764,0.20574,0.71628,0.82296,8.4,9.4,114,52.8,61.2,58.9,73.4,1.6,1.45,729,47.1,0,8.5,8.7,4.194189502,13.4,13.9,14.9,14.7,30.3,29.2,49,50.2,16,17.9,6.7,7,2.3,5,19.29,20.16,85.2,80.9,2.2,2.7,9.4,10.8,3.2,1062,1119,1.45,21,28.1,10.3,44.5,68.9,10.77,12.17,12,11.5,3.53,1.76,13.78,82.9,30.6,17.78,17.56,129,129,16.61,17.41,97.91,137,0,7.62,10.9
F55,F,chow,agouti,0.5087,0.5952,0.0519,0.0577,32.46,31.83,32.7,35.23,35.16,33.01,35.03,35.89,36.62,37.43,36.23,10.4,27.7,27.7,15.3,16,84,117,0.3711,0.38347,10.72479,10.56398,0.18555,0.22266,0.96486,1.10093,3.5,3.5,199,55.1,57.9,70.5,90.8,1.53,1.47,805,6.6,6.978311227,9.2,9.8,18.74079941,22,23.9,14.2,13.7,29.1,28,48.9,49.1,16,16.2,7,7,3,3.1,28.14,32.81,86.7,85.4,1.5,1.8,7.8,8.9,4.1,1231,1372,0,21.1,27.9,10.6,43.6,30.1,11.26,11.8,12.5,11.6,3.8,1.92,0.76,74.5,27.5,25.16,28.5,151,203,30.59,35.46,74.82,76,0,12.37,8.36
F56,F,chow,agouti,0.5593,0.6135,0.0531,0.0589,21.2,21.71,21.73,22.5,22.74,21.02,21.82,22.8,22.69,24.09,24.15,9.7,29.1,28.4,14.8,15.9,101,93,0.39552,0.21424,6.62496,7.01224,0.23072,0.15656,0.93112,0.83224,6.3,7.8,166,51,55.8,74.8,74.4,1.68,1.56,NA,NA,0.80335317,8.7,9,4.977598775,16.1,17.7,16.3,15.7,29.9,28.8,54.5,54.5,15.3,16.1,6.8,7.3,4.8,2.6,20.48,21.51,80.4,85.1,2.8,1.9,11.3,10.1,6,1067,1158,NA,NA,NA,NA,NA,NA,9.36,10.24,13,11.2,3.63,1.61,NA,NA,NA,20.36,20.83,90,107,20.16,22.49,140.76,200,0,8.24,4.46
F57,F,chow,agouti,0.5669,0.5284,0.0572,0.0542,29.21,29.99,30.74,32.33,32.85,32.08,33.3,34.87,36.16,38.27,37.78,10.4,29.4,28.9,15,16,69,100,0.1248,0.2912,7.03872,5.70752,0.09984,0.1664,1.01504,2.10496,7.4,6.7,165,51.1,55.3,51.5,79,1.47,1.54,730,11.5,6.814830736,9.5,9.8,14.19817097,22,26.4,15,15,29.9,29.3,50.2,51.1,15.3,16.2,6.1,7.9,1.5,3.5,23.99,30.99,84.6,68.6,1.2,2,12.2,25.3,5.4,1172,924,0,23.1,29.6,9.8,42.6,37.5,10.16,10.82,12.3,11.7,3.1,2.27,1.63,82.2,29.3,23.65,26.64,104,60,28.98,38.28,94.02,163,0,8.32,10.34
